POI ID,대명칭,중명칭,위도,경도,위도,,,,,,,,,,,,,,,,,,,X (N),Y (E),,가좌역,연남동,동교어린이공원,연트럴파크,홍대입구역 6번출구,참새방앗간 ,서강대역,서강대총동창회관,광성벤처프라자,공덕 파크자이,공덕역,브라운스톤 공덕,효창 푸르지오,효창공원역,,제한거리
102504,안말어린이공원 공영주차장,공중,37.53128609,127.1299215,37.53128609,,,,,,,,,,,,,,,,,,,447989.9876,211482.1992,,19182.42821,18775.35217,18513.08495,18247.25192,17999.87684,17693.46528,17327.53352,17001.43901,16488.32507,16109.07166,15843.18887,15485.09858,15231.67406,14941.82254,,
102481,KTF센터,민간개방화장실,37.51328756,126.9411694,37.51328756,,,,,,,,,,,,,,,,,,,445986.2855,194799.4224,,6337.353427,5804.182892,5424.685207,5075.169321,4918.338414,4678.64109,4297.129609,4040.824619,3604.617389,3516.643435,3469.305113,3363.849876,3294.528753,3374.528305,,
102482,이데아빌딩,민간개방화장실,37.51327397,126.9422671,37.51327397,,,,,,,,,,,,,,,,,,,445984.7172,194896.4573,,6371.36221,5835.795988,5454.74677,5103.032905,4942.458239,4698.12044,4310.964099,4048.274322,3600.179962,3501.848158,3447.016936,3330.819075,3253.509592,3326.119929,,
102509,도봉소방서 삼각산 파출소,공공청사,37.61989684,127.0155807,37.61989684,,,,,,,,,,,,,,,,,,,457815.8891,201375.3597,,10445.4864,10446.22485,10490.78324,10517.86711,10412.23233,10336.62205,10353.06377,10325.16899,10371.42481,10262.79786,10204.47255,10208.5172,10243.69578,10164.2235,,
102518,세이브마트개방화장실,개방,37.58668216,126.9176222,37.58668216,,,,,,,,,,,,,,,,,,,454132.8961,192725.0058,,2160.96262,2634.173716,2994.68201,3333.160854,3491.61047,3756.351099,4187.072661,4519.123316,5121.073639,5417.401208,5641.277766,6013.857412,6301.49319,6522.168459,,
102519,서울병원개방화장실,개방,37.60879903,126.9307656,37.60879903,,,,,,,,,,,,,,,,,,,456586.4236,193887.5427,,4760.47582,5138.814266,5440.286978,5718.910049,5809.311576,5994.326791,6345.379498,6602.946198,7104.96889,7308.674191,7471.090842,7775.845189,8021.742411,8175.968664,,
102520,세광교회개방화장실,개방,37.61466479,126.9130292,37.61466479,,,,,,,,,,,,,,,,,,,457238.6924,192322.2623,,5281.564343,5765.921,6124.851937,6457.652843,6603.840091,6849.793691,7259.541951,7568.112286,8136.314264,8394.408528,8591.386461,8934.178048,9203.302765,9390.627493,,
102538,영신상가,민간개방화장실,37.51990781,126.9068441,37.51990781,,,,,,,,,,,,,,,,,,,446723.4219,191765.8205,,5334.128105,4961.102889,4699.991719,4493.619269,4494.174971,4458.738598,4348.399567,4350.909667,4368.829132,4571.075681,4720.564702,4895.411463,5024.032801,5254.681748,,
102539,오사빌딩,민간개방화장실,37.48093097,126.981514,37.48093097,,,,,,,,,,,,,,,,,,,442394.0441,198365.1474,,11118.93926,10563.44315,10171.61495,9801.423295,9596.42186,9297.247308,8848.061459,8505.692137,7905.725023,7633.408803,7438.77184,7111.364496,6860.281383,6713.160729,,
102491,대흥빌딩,개방,37.56422346,126.9853494,37.56422346,,,,,,,,,,,,,,,,,,,451637.4173,198705.7795,,5997.499876,5665.791859,5477.85177,5294.038353,5078.766519,4838.650145,4614.519905,4409.54317,4176.528679,3934.746004,3787.511668,3672.308663,3635.774659,3504.958835,,
102493,동원빌딩,개방,37.56433202,127.0165332,37.56433202,,,,,,,,,,,,,,,,,,,451649.4925,201460.5255,,8748.853226,8420.304774,8226.980079,8031.418923,7809.178202,7553.568885,7291.87128,7048.255565,6716.309878,6412.703177,6210.438411,5986.152903,5851.529505,5632.995731,,
102551,삼성생명대치타워,개방,37.50556235,127.0535691,37.50556235,,,,,,,,,,,,,,,,,,,445128.6998,204735.9532,,13830.0555,13326.15236,12987.26902,12654.26025,12398.9337,12063.19962,11623.93765,11253.04207,10641.22131,10249.84947,9971.359476,9567.48651,9271.35166,8982.507683,,
