업소명,소재지도로명,소재지지번,업태명,주된음식,행정동명
백련가,서울특별시 서대문구 통일로9길 12 1층 (냉천동),서울특별시 서대문구 냉천동  20번지 1호  1층,한식,해물찜. 해산물요리,천연동
백년가,서울특별시 서대문구 통일로9길 12 1층 (냉천동),서울특별시 서대문구 냉천동  20번지 1호  1층,한식,해물찜. 해산물요리,천연동
백암,서울특별시 서대문구 증가로 13-6 (연희동),서울특별시 서대문구 연희동  122번지 18호  ,한식,순대국,연희동
백암,서울특별시 서대문구 증가로 13-6 (연희동),서울특별시 서대문구 연희동  122번지 18호  ,한식,한식,연희동
민스키친,서울특별시 서대문구 연희맛로 7 (연희동),서울특별시 서대문구 연희동  189번지 11호  ,한식,콩나물냉채,연희동
김덕후의 차돌조 신촌점,서울특별시 서대문구 연세로5가길 20 1층 (창천동),서울특별시 서대문구 창천동  57번지 55호  1층,경양식,해장국,신촌동
가화만사성,서울특별시 서대문구 연세로5가길 1 2층 (창천동),서울특별시 서대문구 창천동  57번지 8호  2층,중국식,참치회,신촌동
가화만사성,서울특별시 서대문구 연세로5가길 1 2층 (창천동),서울특별시 서대문구 창천동  57번지 8호  2층,중국식,일식,신촌동
맛있는 순두부,서울특별시 서대문구 명물길 36 (창천동),서울특별시 서대문구 창천동  5번지 56호  ,한식,순두부,신촌동
참이맛감자탕,서울특별시 서대문구 통일로37길 22 (홍제동),서울특별시 서대문구 홍제동  315번지 0호  ,한식,감자탕,홍제제1동
고향촌,서울특별시 서대문구 통일로9안길 28-5 (충정로2가),서울특별시 서대문구 충정로2가  16번지 20호  ,한식,산채비빔밥,충현동
고향촌,서울특별시 서대문구 통일로9안길 28-5 (충정로2가),서울특별시 서대문구 충정로2가  16번지 20호  ,한식,,충현동
고향촌,서울특별시 서대문구 통일로9안길 28-5 (충정로2가),서울특별시 서대문구 충정로2가  16번지 20호  ,한식,삼겹살,충현동
명동칼국수,서울특별시 서대문구 통일로 442-9 (홍제동14),서울특별시 서대문구 홍제동  253번지 13호  14,한식,칼국수,홍제제3동
옛날집,서울특별시 서대문구 연희로 188-1 (연희동),서울특별시 서대문구 연희동  76번지 24호  ,한식,쌈밥,연희동
옛날집,서울특별시 서대문구 연희로 188-1 (연희동),서울특별시 서대문구 연희동  76번지 24호  ,한식,한식,연희동
옛날집,서울특별시 서대문구 연희로 188-1 (연희동),서울특별시 서대문구 연희동  76번지 24호  ,한식,,연희동
명물갈비,서울특별시 서대문구 명물길 43-3 (창천동),서울특별시 서대문구 창천동  2번지 28호  ,한식,소갈비,신촌동
명물갈비,서울특별시 서대문구 명물길 43-3 (창천동),서울특별시 서대문구 창천동  2번지 28호  ,한식,한식,신촌동
두부의 추억 151,서울특별시 서대문구 이화여대길 67 2층 (대현동),서울특별시 서대문구 대현동  56번지 3호  2층,경양식,돈까스,신촌동
두부의 추억 151,서울특별시 서대문구 이화여대길 67 2층 (대현동),서울특별시 서대문구 대현동  56번지 3호  2층,경양식,한식,신촌동
